19	OPEN	obsługa kicad_dbl		2026-08-30T21:41:27Z
18	OPEN	wiele datasheetów jednego elementu		2026-08-30T21:28:26Z
17	OPEN	dodawanie symbolu elementu		2026-08-30T21:27:01Z
16	OPEN	dodawanie wiecej niż jednego footprinta do elementu		2026-08-30T21:25:19Z
15	OPEN	układ pól w dodawaniu elementu		2026-08-30T21:24:00Z
14	OPEN	Plik desktop.ini w repozytorium svn		2026-08-30T21:20:49Z
13	OPEN	wyszukiwarka elementów		2026-08-30T21:19:20Z
12	OPEN	DOstep do tworzenia tabeli		2026-08-30T21:18:44Z
10	OPEN	Dashboard		2026-08-30T21:15:06Z
9	OPEN	genrator opisów		2025-12-13T14:12:56Z
8	OPEN	przegladarka footprintow		2025-12-12T02:39:14Z
6	OPEN	UI wyszukiwarki		2025-12-11T02:01:42Z
4	OPEN	Pole datasheet		2025-12-10T22:56:15Z
3	OPEN	plik dblib		2025-12-10T22:58:55Z
2	OPEN	Infromacje o koncie		2025-12-10T22:51:12Z
1	OPEN	uzytkownicy postgres		2025-12-10T22:49:03Z
